timestamp,raw_signal,confirmed_signal,confirmation_count,next_required,action_taken,rejection_reason
2026-08-20 10:21:22,CALL,NO_TRADE,1,PUT,TRADE_OPENED,
2026-08-20 10:24:09,CALL,NO_TRADE,1,PUT,TRADE_OPENED,
2026-08-20 10:24:18,CALL,NO_TRADE,2,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:19,CALL,NO_TRADE,3,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:19,CALL,NO_TRADE,4,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:19,CALL,NO_TRADE,5,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:19,CALL,NO_TRADE,6,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:20,CALL,NO_TRADE,7,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:21,CALL,NO_TRADE,8,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:22,CALL,NO_TRADE,9,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:28,CALL,NO_TRADE,10,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:29,CALL,NO_TRADE,11,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:30,CALL,NO_TRADE,12,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:31,CALL,NO_TRADE,13,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:32,CALL,NO_TRADE,14,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:33,CALL,NO_TRADE,15,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:35,CALL,NO_TRADE,16,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:36,CALL,NO_TRADE,17,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:37,CALL,NO_TRADE,18,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:38,CALL,NO_TRADE,19,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:39,CALL,NO_TRADE,20,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:41,CALL,NO_TRADE,21,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:24:42,CALL,NO_TRADE,22,PUT,TRADE_OPENED,
2026-08-20 10:43:07,CALL,NO_TRADE,23,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:08,CALL,NO_TRADE,24,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:08,CALL,NO_TRADE,25,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:08,CALL,NO_TRADE,26,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:08,CALL,NO_TRADE,27,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:09,CALL,NO_TRADE,28,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:11,CALL,NO_TRADE,29,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:12,CALL,NO_TRADE,30,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:13,CALL,NO_TRADE,31,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:14,CALL,NO_TRADE,32,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:15,CALL,NO_TRADE,33,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:16,CALL,NO_TRADE,34,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:18,CALL,NO_TRADE,35,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:19,CALL,NO_TRADE,36,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:20,CALL,NO_TRADE,37,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:21,CALL,NO_TRADE,38,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:22,CALL,NO_TRADE,39,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:24,CALL,NO_TRADE,40,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:25,CALL,NO_TRADE,41,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:26,CALL,NO_TRADE,42,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:27,CALL,NO_TRADE,43,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:28,CALL,NO_TRADE,44,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:30,CALL,NO_TRADE,45,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:31,CALL,NO_TRADE,46,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:43:32,CALL,NO_TRADE,47,PUT,TRADE_OPENED,
2026-08-20 10:48:28,CALL,NO_TRADE,1,PUT,TRADE_OPENED,
2026-08-20 10:48:41,CALL,NO_TRADE,1,PUT,TRADE_OPENED,
2026-08-20 10:48:56,CALL,NO_TRADE,1,PUT,TRADE_OPENED,
2026-08-20 10:49:18,CALL,NO_TRADE,1,PUT,TRADE_OPENED,
2026-08-20 10:49:51,CALL,NO_TRADE,2,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:49:53,CALL,NO_TRADE,3,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:49:55,CALL,NO_TRADE,4,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:01,CALL,NO_TRADE,5,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:08,CALL,NO_TRADE,6,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:17,CALL,NO_TRADE,7,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:18,CALL,NO_TRADE,8,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:22,CALL,NO_TRADE,9,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:24,CALL,NO_TRADE,10,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:32,CALL,NO_TRADE,11,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:34,CALL,NO_TRADE,12,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:43,CALL,NO_TRADE,13,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:52,CALL,NO_TRADE,14,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:50:58,CALL,NO_TRADE,15,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:51:04,CALL,NO_TRADE,16,PUT,TRADE_OPENED,
2026-08-20 10:55:21,CALL,NO_TRADE,17,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:21,CALL,NO_TRADE,18,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:21,CALL,NO_TRADE,19,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:21,CALL,NO_TRADE,20,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:22,CALL,NO_TRADE,21,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:23,CALL,NO_TRADE,22,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:25,CALL,NO_TRADE,23,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:26,CALL,NO_TRADE,24,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:34,CALL,NO_TRADE,25,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:36,CALL,NO_TRADE,26,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:46,CALL,NO_TRADE,27,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:55:58,CALL,NO_TRADE,28,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:04,CALL,NO_TRADE,29,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:11,CALL,NO_TRADE,30,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:13,CALL,NO_TRADE,31,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:14,CALL,NO_TRADE,32,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:21,CALL,NO_TRADE,33,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:29,CALL,NO_TRADE,34,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:36,CALL,NO_TRADE,35,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:45,CALL,NO_TRADE,36,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:52,CALL,NO_TRADE,37,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:56,CALL,NO_TRADE,38,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:58,CALL,NO_TRADE,39,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:56:59,CALL,NO_TRADE,40,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
2026-08-20 10:57:02,CALL,NO_TRADE,41,PUT,SIGNAL_REJECTED,Signal 'CALL' rejected: waiting for 'PUT'
